Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
162914,"All the Flowers Are Dying (Matthew Scudder, #16)",Lawrence Block,"Block, Lawrence",,"=""0061030961""","=""9780061030963""",3,3.96,HarperTorch,Mass Market Paperback,354,2006,2005,,2011/03/13,,,read,,,,1,0
380564,"The Burglar on the Prowl (Bernie Rhodenbarr, #10)",Lawrence Block,"Block, Lawrence",,"=""0061030988""","=""9780061030987""",4,3.81,HarperTorch,Mass Market Paperback,350,2005,2001,,2011/03/13,,,read,,,,1,0
39507,"The Sins of the Fathers (Matthew Scudder, #1)",Lawrence Block,"Block, Lawrence",,"=""0752834525""","=""9780752834528""",3,3.87,Orion,Paperback,182,2000,1976,,2011/03/13,,,read,,,,1,0
442704,"The Burglar in the Rye (Bernie Rhodenbarr, #9)",Lawrence Block,"Block, Lawrence",,"=""1842430300""","=""9781842430309""",3,3.93,No Exit Press,Paperback,280,2001,1998,,2011/03/13,,,read,,,,1,0
76755,"The Burglar Who Studied Spinoza (Bernie Rhodenbarr, #4)",Lawrence Block,"Block, Lawrence",,"=""0451194888""","=""9780451194886""",3,3.88,Signet,Mass Market Paperback,320,1998,1980,,2011/03/13,,,read,,,,1,0
39506,"The Burglar Who Liked to Quote Kipling (Bernie Rhodenbarr, #3)",Lawrence Block,"Block, Lawrence",,"=""0060731257""","=""9780060731250""",3,3.85,HarperTorch,Mass Market Paperback,304,2005,1979,,2011/03/13,,,read,,,,1,0
39505,"The Burglar Who Painted Like Mondrian (Bernie Rhodenbarr, #5)",Lawrence Block,"Block, Lawrence",,"=""0060731435""","=""9780060731434""",3,3.89,HarperTorch,Mass Market Paperback,311,2005,1983,,2011/03/13,,,read,,,,1,0
39501,"The Burglar Who Thought He Was Bogart (Bernie Rhodenbarr, #7)",Lawrence Block,"Block, Lawrence",,"=""0060872799""","=""9780060872793""",3,3.89,HarperTorch,Mass Market Paperback,400,2006,1995,,2011/03/13,,,read,,,,1,0
380557,"The Burglar in the Library (Bernie Rhodenbarr, #8)",Lawrence Block,"Block, Lawrence",,"=""006087287X""","=""9780060872878""",3,3.96,Harper,Mass Market Paperback,367,2007,1997,,2011/03/13,,,read,,,,1,0
39510,"The Burglar Who Traded Ted Williams (Bernie Rhodenbarr, #6)",Lawrence Block,"Block, Lawrence",,"=""0060731443""","=""9780060731441""",0,3.91,HarperTorch,Mass Market Paperback,384,2005,1994,,2011/03/13,to-read,to-read (#33),to-read,,,,0,0
402737,"The Burglar in the Closet (Bernie Rhodenbarr, #2)",Lawrence Block,"Block, Lawrence",,"=""006087273X""","=""9780060872731""",4,3.90,HarperTorch,Mass Market Paperback,290,2006,1978,,2011/03/13,,,read,,,,1,0
402739,"Burglars Can't Be Choosers (Bernie Rhodenbarr, #1)",Lawrence Block,"Block, Lawrence",,"=""0060582553""","=""9780060582555""",4,3.82,HarperTorch,Mass Market Paperback,293,2004,1977,,2011/03/13,,,read,,,,1,0
380563,"Hit Man (Keller, #1)",Lawrence Block,"Block, Lawrence",,"=""0752825925""","=""9780752825922""",3,3.93,Orion,Paperback,320,1999,1998,,2011/03/13,,,read,,,,1,0
6528,"Predator (Kay Scarpetta, #14)",Patricia Cornwell,"Cornwell, Patricia",,"=""0425210278""","=""9780425210277""",3,3.73,Berkley,Mass Market Paperback,453,2006,2005,,2011/03/13,,,read,,,,1,0
85379,"Cruel & Unusual (Kay Scarpetta, #4)",Patricia Cornwell,"Cornwell, Patricia",,"=""0380718340""","=""9780380718344""",3,4.13,Avon,Mass Market Paperback,407,1994,1993,,2011/03/13,,,read,,,,1,0
6530,"Trace (Kay Scarpetta, #13)",Patricia Cornwell,"Cornwell, Patricia",,"=""0425204200""","=""9780425204207""",3,3.83,Berkley,Mass Market Paperback,401,2005,2004,,2011/03/13,,,read,,,,1,0
31623,"Blow Fly (Kay Scarpetta, #12)",Patricia Cornwell,"Cornwell, Patricia",,"=""0425198731""","=""9780425198735""",3,3.81,Berkley,Paperback,467,2004,2003,,2011/03/13,,,read,,,,1,0
123598,"Black Notice (Kay Scarpetta, #10)",Patricia Cornwell,"Cornwell, Patricia",,"=""0425175405""","=""9780425175408""",3,3.92,Berkley,Mass Market Paperback,441,2000,1999,,2011/03/13,,,read,,,,1,0
232145,"Unnatural Exposure (Kay Scarpetta, #8)",Patricia Cornwell,"Cornwell, Patricia",,"=""0751530492""","=""9780751530490""",3,4.07,Time Warner,Paperback,370,2000,1997,,2011/03/13,,,read,,,,1,0
6531,"Point of Origin (Kay Scarpetta, #9)",Patricia Cornwell,"Cornwell, Patricia",,"=""0751530484""","=""9780751530483""",3,4.05,Time Warner,Paperback,440,2000,1998,,2011/03/13,,,read,,,,1,0
6541,"Cause of Death (Kay Scarpetta, #7)",Patricia Cornwell,"Cornwell, Patricia",,"=""0425213382""","=""9780425213384""",3,3.95,Berkley,Paperback,356,2007,1996,,2011/03/13,,,read,,,,1,0
232123,"All That Remains (Kay Scarpetta, #3)",Patricia Cornwell,"Cornwell, Patricia",,"=""0684193957""","=""9780684193953""",3,4.07,Scribner,Hardcover,373,1992,1992,,2011/03/13,,,read,,,,1,0
6537,"From Potter's Field (Kay Scarpetta, #6)",Patricia Cornwell,"Cornwell, Patricia",,"=""0425204693""","=""9780425204696""",3,4.06,Berkley,Paperback,383,2005,1995,,2011/03/13,,,read,,,,1,0
132336,"Body of Evidence (Kay Scarpetta, #2)",Patricia Cornwell,"Cornwell, Patricia",,"=""0743493915""","=""9780743493918""",3,4.04,Pocket Books,Mass Market Paperback,403,2004,1991,,2011/03/13,,,read,,,,1,0
6539,"The Body Farm (Kay Scarpetta, #5)",Patricia Cornwell,"Cornwell, Patricia",,"=""0425201449""","=""9780425201442""",4,4.07,Berkley,Paperback,351,2004,1994,,2011/03/13,,,read,,,,1,0
6526,"Book of the Dead (Kay Scarpetta, #15)",Patricia Cornwell,"Cornwell, Patricia",,"=""0399153934""","=""9780399153938""",0,3.71,G.P. Putnam's Sons,Hardcover,511,2007,2007,,2011/03/13,to-read,to-read (#32),to-read,,,,0,0
320167,"The Last Precinct (Kay Scarpetta, #11)",Patricia Cornwell,"Cornwell, Patricia",,"=""0751525359""","=""9780751525359""",0,3.91,,Paperback,565,2001,2000,,2011/03/13,to-read,to-read (#31),to-read,,,,0,0
2095583,"Devil Bones (Temperance Brennan, #11)",Kathy Reichs,"Reichs, Kathy",,"=""0743294386""","=""9780743294386""",0,3.91,Scribner Book Company,Hardcover,310,2008,2008,,2011/03/13,to-read,to-read (#28),to-read,,,,0,0
181116,"Monday Mourning (Temperance Brennan, #7)",Kathy Reichs,"Reichs, Kathy",,"=""0743453018""","=""9780743453011""",0,4.04,Pocket Star,Mass Market Paperback,383,2005,2004,,2011/03/13,to-read,to-read (#27),to-read,,,,0,0
128755,"Cross Bones (Temperance Brennan, #8)",Kathy Reichs,"Reichs, Kathy",,"=""0743453026""","=""9780743453028""",4,3.87,Pocket Star,Mass Market Paperback,453,2006,2005,,2011/03/13,,,read,,,,1,0
128754,"Deadly Decisions (Temperance Brennan, #3)",Kathy Reichs,"Reichs, Kathy",,"=""0671028367""","=""9780671028367""",4,3.94,Pocket Star,Mass Market Paperback,368,2001,2000,,2011/03/13,,,read,,,,1,0
281350,"Grave Secrets (Temperance Brennan, #5)",Kathy Reichs,"Reichs, Kathy",,"=""0684859734""","=""9780684859736""",4,3.98,Scribner Book Company,Hardcover,315,2002,2002,,2011/03/13,,,read,,,,1,0
128752,"Bare Bones (Temperance Brennan, #6)",Kathy Reichs,"Reichs, Kathy",,"=""074345300X""","=""9780743453004""",4,3.97,Pocket Star,Mass Market Paperback,416,2004,2003,,2011/03/13,,,read,,,,1,0
106128,"Break No Bones (Temperance Brennan, #9)",Kathy Reichs,"Reichs, Kathy",,"=""0743233492""","=""9780743233491""",4,3.98,Scribner Book Company,Hardcover,337,2006,2006,,2011/03/13,,,read,,,,1,0
128759,"Fatal Voyage (Temperance Brennan, #4)",Kathy Reichs,"Reichs, Kathy",,"=""1416510567""","=""9781416510567""",4,4.05,Pocket Star,Mass Market Paperback,448,2005,2001,,2011/03/13,,,read,,,,1,0
128757,"Bones to Ashes (Temperance Brennan, #10)",Kathy Reichs,"Reichs, Kathy",,"=""0743294378""","=""9780743294379""",4,3.95,Scribner Book Company,Hardcover,310,2007,2007,,2011/03/13,,,read,,,,1,0
128756,"Death du Jour (Temperance Brennan, #2)",Kathy Reichs,"Reichs, Kathy",,"=""0671011375""","=""9780671011376""",4,3.96,Pocket Star,Mass Market Paperback,451,2006,1999,,2011/03/13,,,read,,,,1,0
459375,Rebus's Scotland,Ian Rankin,"Rankin, Ian",,"=""0752852450""","=""9780752852454""",5,3.96,Orion,Hardcover,192,2005,2005,,2011/03/13,,,read,,,,1,0
6713625,"The Complaints (Malcolm Fox, #1)",Ian Rankin,"Rankin, Ian",,"=""0752889516""","=""9780752889511""",5,3.88,Orion Books,Hardcover,381,2009,2009,,2011/03/13,,,read,,,,1,0
512086,"A Good Hanging (Inspector Rebus, #3.5)",Ian Rankin,"Rankin, Ian",,"=""0312980000""","=""9780312980009""",0,3.87,Minotaur Books,Mass Market Paperback,320,2004,1992,,2011/03/13,to-read,to-read (#26),to-read,,,,0,0
69807,"Set in Darkness (Inspector Rebus, #11)",Ian Rankin,"Rankin, Ian",,"=""0312977891""","=""9780312977894""",5,4.05,Minotaur Books,Mass Market Paperback,448,2001,2000,,2011/03/13,,,read,,,,1,0
511993,"Mortal Causes (Inspector Rebus, #6)",Ian Rankin,"Rankin, Ian",,"=""0312960948""","=""9780312960940""",5,3.97,St. Martin's Paperbacks,Mass Market Paperback,278,1997,1994,,2011/03/13,,,read,,,,1,0
69801,"Dead Souls (Inspector Rebus, #10)",Ian Rankin,"Rankin, Ian",,"=""075284413X""","=""9780752844138""",5,4.07,Orion,Paperback,320,2001,1999,,2011/03/13,,,read,,,,1,0
